address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.10.32,02:42:ac:11:00:10,,600,1762952771,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762952834,1,0,0,client2,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762952880,1,0,0,cliente3,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762952884,1,0,0,cliente4,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762953024,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762953115,1,0,0,client2,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762953118,1,0,0,cliente3,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762953119,1,0,0,cliente4,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762953278,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762953355,1,0,0,client2,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762953399,1,0,0,cliente4,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762953417,1,0,0,cliente3,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762953521,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762953594,1,0,0,client2,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762953697,1,0,0,cliente4,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762953697,1,0,0,cliente3,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762953777,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762953836,1,0,0,client2,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762953981,1,0,0,cliente3,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762953983,1,0,0,cliente4,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762954054,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762954108,1,0,0,client2,0,,0
192.168.10.104,8a:f9:d8:58:0f:36,,600,1762954216,1,0,0,cliente3,0,,0
192.168.10.103,8a:4c:54:80:6f:2a,,600,1762954220,1,0,0,cliente4,0,,0
192.168.10.32,02:42:ac:11:00:10,,600,1762954334,1,0,0,cliente1,0,,0
192.168.10.102,9e:a2:ce:28:96:39,,600,1762954399,1,0,0,client2,0,,0
